Names," links (these are all bought physically, from onur çarşısı / izmir)",Notes
555 timer,https://www.robotistan.com/ne555-dip8,
cd4017,https://robotistanpro.com/lingxingic-cd40175bmlx,
1k ohm resistor,https://www.lcsc.com/product-detail/C2979794.html?spm=wm.fly.bg.7.stp___wm.fly.lb.6.ml&lcsc_vid=Q1ZWUgUDEwUMBgZXRQdcA1ACElBeVFVQQgBZVwZXE1cxVlNeRFJaVldeQFdeUzsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D, 
470 ohm resistor,https://www.lcsc.com/product-detail/C1374787.html?spm=wm.fly.bg.13.stp___wm.fly.lb.6.ml&lcsc_vid=Q1ZWUgUDEwUMBgZXRQdcA1ACElBeVFVQQgBZVwZXE1cxVlNeRFJaVldeQFdeUzsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D, 
1 uF electrolytic capacitor,https://www.lcsc.com/product-detail/C2927584.html?spm=wm.fly.bg.1.stp___wm.fly.tp.1.ml&lcsc_vid=Q1ZWUgUDEwUMBgZXRQdcA1ACElBeVFVQQgBZVwZXE1cxVlNeRFJaVldeQFdeUzsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D, 
0.01 uF capacitor,https://www.lcsc.com/product-detail/C2299493.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=Q1ZWUgUDEwUMBgZXRQdcA1ACElBeVFVQQgBZVwZXE1cxVlNeRFJaVldeQFdeUzsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D, 
50k varible resistor,https://www.lcsc.com/product-detail/C5848785.html?spm=wm.fly.bg.3.stp___wm.fly.tp.1.ml&lcsc_vid=Q1ZWUgUDEwUMBgZXRQdcA1ACElBeVFVQQgBZVwZXE1cxVlNeRFJaVldeQFdeUzsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D,not the same one but any 50 k ohm vareable resistor woud do
10 leds,literally anywhere,was 20x1 i just cut it
2 male socket pieces,literally anywhere,
